timestamp,eth_price,btc_price,eth_btc,eth_btc_ma30,eth_btc_change_30d
2024-02-27,3242.36,57037.34,0.05684626947890628,0.05493032836437319,5.866851134036888
2024-02-28,3383.1,62432.1,0.054188470354192796,0.05495258030648189,1.2472849157104005
2024-02-29,3340.09,61130.98,0.05463825379537511,0.0549550773082297,0.13729006929470433
2024-03-01,3433.43,62387.9,0.05503358824387421,0.05500219660322278,2.6362898212183072
2024-03-02,3421.4,61987.28,0.05519519488514418,0.05505921164562315,3.1980171474375263
2024-03-03,3487.81,63113.97,0.055262091736583835,0.05511959927141051,3.389360303345157
2024-03-04,3627.76,68245.71,0.05315733399212932,0.05511174461229471,-0.4413310532363157
2024-03-05,3553.65,63724.01,0.055766264552403404,0.05517820179844029,3.7076828653827665
2024-03-06,3818.59,66074.04,0.05779259146254717,0.055308086693864784,7.229745506683294
2024-03-07,3868.76,66823.17,0.05789548744844042,0.05540290317142473,5.167017278894437
2024-03-08,3883.36,68124.19,0.057004127315128446,0.05548032607548326,4.247669983712865
2024-03-09,3905.21,68313.27,0.05716619918794694,0.05560502986392562,7.002541251605177
2024-03-10,3878.47,68955.88,0.05624567477059243,0.05572133567582474,6.613733529741306
2024-03-11,4064.8,72078.1,0.05639438331476551,0.05585582005664053,7.705391208758616
2024-03-12,3979.96,71452.01,0.05570116222062893,0.055982221448058866,7.3051550625896855
2024-03-13,4004.79,73072.41,0.05480577416291593,0.0560328149109688,2.8483049353305256
2024-03-14,3881.7,71388.94,0.054373968852878325,0.05607464889703108,2.362658898739123
2024-03-15,3742.19,69499.85,0.05384457664297117,0.056083709587954396,0.5073861201567276
2024-03-16,3523.09,65300.63,0.053951853144448995,0.05606856704177989,-0.8349728039136584
2024-03-17,3644.71,68393.48,0.05329031363808363,0.05605316161167981,-0.8597983437086398
2024-03-18,3520.46,67609.99,0.05207011567373401,0.05599062171473741,-3.4778964835080917
2024-03-19,3158.64,61937.4,0.05099729727111567,0.05584848536432342,-7.716220463233059
2024-03-20,3516.53,67840.51,0.051835253007384535,0.05568042154177204,-8.864567069443686
2024-03-21,3492.85,65501.27,0.05332492026490479,0.0555349197295982,-7.5664002163316475
2024-03-22,3336.35,63796.64,0.052296641327819145,0.055370114802543266,-8.637455712921172
2024-03-23,3329.53,63990.01,0.05203202812439004,0.0551733455720461,-10.189119206585161
2024-03-24,3454.98,67209.99,0.05140575084150436,0.05496727986894792,-10.734876958637084
2024-03-25,3590.42,69880.01,0.05137978657988172,0.05474553098168389,-11.463395355762229
2024-03-26,3587.33,69988.0,0.051256358232839916,0.054448367642833215,-14.815877883921724
2024-03-27,3501.19,69469.99,0.05039859657385872,0.05418501090324633,-13.551967785980922
2024-03-28,3560.49,70780.6,0.050303190422234335,0.05396690826802394,-11.510129189919594
2024-03-29,3509.74,69850.54,0.05024642615504476,0.053835506794719004,-7.274691781077413
2024-03-30,3505.64,69582.18,0.05038129015216253,0.053693608006611916,-7.7911780620868125
2024-03-31,3645.29,71280.01,0.05114042492418282,0.05356383589595553,-7.074158607356917
2024-04-01,3503.8,69649.8,0.05030595924180687,0.05340086137451095,-8.85808203687175
2024-04-02,3278.96,65463.99,0.05008799494195206,0.053228391481356566,-9.362831974032016
2024-04-03,3310.83,65963.28,0.05019201592158546,0.05312954754567177,-5.578379967255154
2024-04-04,3327.4,68487.79,0.04858384246301422,0.05289013347602546,-12.879510842329921
2024-04-05,3317.85,67820.62,0.04892096238577589,0.052594412506799755,-15.350806828796726
2024-04-06,3351.59,68896.0,0.04864709126799814,0.05228613263411834,-15.97429538645574
2024-04-07,3454.2,69360.39,0.04980075804072036,0.0520460203249714,-12.63657495287428
2024-04-08,3694.61,71620.0,0.051586288746160294,0.05186002331024519,-9.760856102119742
2024-04-09,3506.39,69146.0,0.05070994706852168,0.0516754990535095,-9.84205047703519
2024-04-10,3545.64,70631.08,0.05019943061892866,0.05146900063031493,-10.98505264479921
2024-04-11,3502.52,70006.23,0.05003154719229989,0.051280013462703965,-10.178629677190653
2024-04-12,3237.43,67116.52,0.048235963366396226,0.05106101976948664,-11.987442740960564
2024-04-13,3007.01,63924.51,0.047040016419367156,0.050816554688369604,-13.487984394434982
2024-04-14,3155.11,65661.84,0.0480508922686297,0.05062343187589155,-10.760014723038536
2024-04-15,3101.99,63419.99,0.048911865170587376,0.050455432276762836,-9.341640147869834
2024-04-16,3084.22,63793.39,0.048347015262866576,0.0502906556642556,-9.276166788563156
2024-04-17,2985.41,61277.37,0.04871961704622767,0.05017897237667205,-6.434590329125111
2024-04-18,3064.4,63470.08,0.0482810168192635,0.05008842969494365,-5.326322368441749
2024-04-19,3056.46,63818.01,0.04789337680695465,0.049957033821595984,-7.604624211766298
2024-04-20,3155.79,64940.59,0.048595031243171646,0.049799370854204876,-8.869941104902257
2024-04-21,3147.67,64941.15,0.04846957591604091,0.049671802007145605,-7.317994644796489
2024-04-22,3200.2,66819.32,0.047893333844163624,0.04953384553113806,-7.954128311762654
2024-04-23,3219.46,66414.0,0.04847562260969073,0.049436174590077604,-5.700000843967601
2024-04-24,3140.8,64289.59,0.04885394353891509,0.04935197982204538,-4.916024781534711
2024-04-25,3155.8,64498.34,0.0489283910252574,0.04927438091512597,-4.541811568054377
2024-04-26,3131.3,63770.01,0.0491030188014711,0.04923119498937971,-2.5706624002693412
2024-04-27,3255.56,63461.98,0.05129937641403561,0.049264401189106424,1.9803634390572533
2024-04-28,3263.45,63118.62,0.05170344345297789,0.04931296843237086,2.899743144790512
2024-04-29,3216.73,63866.0,0.0503668618670341,0.04931248748953324,-0.028638181128048945
2024-04-30,3014.05,60672.0,0.04967777558016878,0.04926373251139945,-2.8600649020465885
2024-05-01,2972.46,58364.97,0.050928836252293115,0.049284495078415654,1.2381773846956046
2024-05-02,2986.19,59060.61,0.05056144865418762,0.0493002768688235,0.9452438908450045
2024-05-03,3102.61,62882.01,0.049340184895489185,0.04927188250128696,-1.6971444769763422
2024-05-04,3117.23,63892.04,0.04878901972765309,0.04927872174344159,0.42231584460423743
2024-05-05,3136.41,64012.0,0.048997219271386616,0.04928126363962861,0.15587772989702486
2024-05-06,3062.6,63165.19,0.04848556617972652,0.04927587947001956,-0.3320344219180038
2024-05-07,3005.69,62312.08,0.04823607236349677,0.04922372328077877,-3.141891285960341
2024-05-08,2974.21,61193.03,0.04860373804010032,0.0491243049239101,-5.781673344900151
2024-05-09,3036.23,63074.01,0.04813757679272334,0.04903855924805016,-5.072713391560891
2024-05-10,2909.99,60799.99,0.04786168550356669,0.04896063441087142,-4.656915599517742
2024-05-11,2912.45,60825.99,0.047881670318888354,0.048888971848424376,-4.297042554267461
2024-05-12,2929.29,61483.99,0.04764313441596747,0.04886921088341009,-1.2290185767114825
2024-05-13,2950.99,62940.08,0.04688570462573292,0.048864067156955605,-0.3280436644803264
2024-05-14,2881.93,61577.49,0.046801680289339495,0.04882242675764594,-2.5997685377129987
2024-05-15,3032.55,66206.5,0.045804414974360524,0.04871884508443838,-6.353162336764628
2024-05-16,2944.7,65235.21,0.04513973358865557,0.04861193569529801,-6.633877307156933
2024-05-17,3092.01,67024.0,0.046132877775125335,0.04852571105292793,-5.309440894512574
2024-05-18,3122.94,66915.2,0.046670113815695094,0.04847201428614232,-3.3365142445087814
2024-05-19,3071.19,66274.01,0.04634079030377067,0.04842026140270285,-3.2417561815322404
2024-05-20,3661.78,71446.62,0.051251969652308264,0.048508826016340746,5.4675104453399515
2024-05-21,3789.6,70148.34,0.05402266112070507,0.04869392885649622,11.456847104012668
2024-05-22,3737.73,69166.62,0.054039506339907895,0.04889880127302102,12.833043771274767
2024-05-23,3783.61,67969.65,0.055666168650272595,0.04913848614104042,14.833323748057236
2024-05-24,3728.28,68549.99,0.05438775410470519,0.049322946493233426,11.327254597946812
2024-05-25,3749.26,69290.57,0.05410923881850012,0.04949564141967484,10.588633071069719
2024-05-26,3826.47,68507.67,0.05585462182555617,0.04972069485381102,13.749873610383379
2024-05-27,3894.22,69436.43,0.05608324045461439,0.049880156988496974,9.325384390578861
2024-05-28,3844.69,68398.39,0.05621024120596991,0.05003038358026337,8.716629787125797
2024-05-29,3767.43,67652.42,0.05568803008081603,0.0502077558540561,10.564819836958538
2024-05-30,3747.91,68352.17,0.05483234840971399,0.05037957494837428,10.376013759365854
2024-05-31,3762.29,67540.01,0.055704611237102276,0.050538767447867915,9.377349525818257
2024-06-01,3815.82,67766.85,0.056308062127721735,0.05073032123031906,11.365602898045445
2024-06-02,3780.91,67765.63,0.05579391794926129,0.050945445665444795,13.080074724977631
2024-06-03,3767.06,68809.9,0.05474590138918964,0.051144008387496005,12.209471915584015
2024-06-04,3810.23,70537.84,0.054016822743650786,0.05131132850323815,10.244670099463216
2024-06-05,3865.99,71108.0,0.05436786296900489,0.05150740506288076,12.13205754362825
2024-06-06,3813.46,70799.06,0.05386314451067571,0.05169497413445339,11.665693062184923
2024-06-07,3678.32,69355.6,0.05303565970159583,0.05184270485650324,9.118479031055116
2024-06-08,3681.57,69310.46,0.05311709084025701,0.05200868865808769,10.344338829050482
2024-06-09,3706.4,69648.14,0.053216065784384196,0.05218716800078162,11.187195403760896
2024-06-10,3667.85,69540.0,0.052744463618061545,0.05234926111075406,10.155855605678221
2024-06-11,3497.33,67314.24,0.05195527721920354,0.05249299920419525,9.050921724811744
2024-06-12,3560.12,68263.99,0.052152240148869114,0.0526685503882998,11.232710620809772
2024-06-13,3469.4,66773.01,0.05195811900646684,0.05284043167887071,11.0176358738596
2024-06-14,3481.8,66043.99,0.05271940717088716,0.05307093141875493,15.09678095527991
2024-06-15,3568.74,66228.25,0.053885464284500945,0.053362455775283105,19.374794666584695
2024-06-16,3624.41,66676.87,0.05435783053403677,0.053636620867246826,17.82883088066598
2024-06-17,3511.46,66504.33,0.052800471788829385,0.05384096613301796,13.135511083910533
2024-06-18,3483.42,65175.32,0.053446918250650705,0.05407783706458063,15.334498829860955
2024-06-19,3560.51,64974.37,0.05479868446589017,0.05419606089170003,6.920153191463085
2024-06-20,3513.08,64869.99,0.05415570435574293,0.05420049566620129,0.2462730126170376
2024-06-21,3518.5,64143.56,0.05485351919974507,0.054227629428195874,1.5063291931592504
