entry_time,entry_price,size,direction,exit_time,exit_price,pnl,pnl_pct,commission,slippage,duration_hours,strategy,coin,timeframe,is_winner
2020-09-24 16:00:00+00:00,3.07843845,276.15098413252775,LONG,2020-09-24 17:00:00+00:00,3.1912036,28.98,3.6631,1.7314,0.4248,1.0,backtest,SOL,15m,True
2020-09-24 17:30:00+00:00,3.20610225,266.0726620095766,LONG,2020-09-24 18:00:00+00:00,3.1388298000000003,-20.01,-2.0983,1.6882,0.4263,0.5,backtest,SOL,15m,False
2020-09-25 11:45:00+00:00,3.0315149999999997,280.74953431723736,LONG,2020-09-25 15:15:00+00:00,3.1384300000000005,27.86,3.5268,1.7322,0.4253,3.5,backtest,SOL,15m,True
2020-09-25 15:30:00+00:00,3.1128556499999998,274.3224697601351,LONG,2020-09-25 18:00:00+00:00,3.1801091500000003,16.3,2.1605,1.7263,0.4267,2.5,backtest,SOL,15m,True
2020-09-25 18:15:00+00:00,3.1843913999999995,268.68536623617246,LONG,2020-09-25 20:00:00+00:00,3.2433775000000002,13.69,1.8524,1.7271,0.4276,1.75,backtest,SOL,15m,True
2020-09-25 20:45:00+00:00,3.2016,267.6824838327858,LONG,2020-09-25 23:45:00+00:00,3.1921031500000003,-4.68,-0.2966,1.7115,0.4283,3.0,backtest,SOL,15m,False
2020-09-26 05:00:00+00:00,3.16288065,270.8248461315179,LONG,2020-09-26 08:45:00+00:00,3.1254365,-12.27,-1.1839,1.703,0.4281,3.75,backtest,SOL,15m,False
2020-09-26 15:30:00+00:00,3.1383684,272.5625486710492,LONG,2020-09-26 18:00:00+00:00,3.08215815,-17.44,-1.7911,1.6955,0.4275,2.5,backtest,SOL,15m,False
2020-09-26 22:30:00+00:00,3.10465155,274.9742432528126,LONG,2020-09-27 00:00:00+00:00,3.1450267,8.96,1.3005,1.7185,0.4266,1.5,backtest,SOL,15m,True
2020-09-27 00:15:00+00:00,3.1645814999999997,270.06352709982417,LONG,2020-09-27 02:15:00+00:00,3.1290347,-11.73,-1.1233,1.6997,0.4271,2.0,backtest,SOL,15m,False
2020-09-27 02:30:00+00:00,3.1307646,272.61951285210824,LONG,2020-09-27 03:45:00+00:00,3.1334325,-1.41,0.0852,1.7077,0.4265,1.25,backtest,SOL,15m,False
2020-09-27 05:30:00+00:00,3.14187015,271.6246656247524,LONG,2020-09-27 06:15:00+00:00,3.110444,-10.66,-1.0002,1.6983,0.4265,0.75,backtest,SOL,15m,False
